City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
591,Sorong,ID,77.92,overcast clouds,-0.8833,131.25,Waigo Splash Hotel
594,Bakel,SN,82.9,light rain,14.905,-12.4568,Ablaye Diallo Bakel
595,Yanam,IN,79.57,scattered clouds,16.7333,82.2167,The Regency Hotel
596,Rosetta,EG,78.67,clear sky,31.4044,30.4164,Green Valley
601,Limon,CR,86.05,clear sky,10.0,-83.0333,Hotel Playa Bonita
604,Kadoma,JP,78.19,scattered clouds,34.7333,135.5833,Hotel Agora Osaka Moriguchi
606,Arlit,NE,86.04,light rain,18.7369,7.3853,Case de Passage De la Prefecture
608,Nanpara,IN,79.05,broken clouds,27.8667,81.5,Nanpara Hotel Residency
613,Avera,US,84.54,broken clouds,33.194,-82.5271,
621,Gizo,SB,81.01,few clouds,-8.103,156.8419,Imagination Island
622,Conde,BR,80.06,scattered clouds,-7.2597,-34.9075,Pousada Beija Flor
624,Umm Lajj,SA,87.75,scattered clouds,25.0213,37.2685,Moon light Furnished Units
628,Vanderhoof,CA,78.57,overcast clouds,54.0166,-124.0198,Vanderhoof Inn
629,Bud,US,86.9,overcast clouds,39.447,-86.1758,Ted McQuinn Trust
630,Peto,MX,75.76,overcast clouds,20.1333,-88.9167,Hotel D'Rodi&Eve
632,Kandrian,PG,75.88,light rain,-6.2167,149.55,Kandrian Station
639,Roma,US,79.68,clear sky,43.2128,-75.4557,Wingate By Wyndham Rome
644,Bandarbeyla,SO,76.21,broken clouds,9.4942,50.8122,JABIR HOTEL
647,Kerema,PG,76.21,overcast clouds,-7.9631,145.7785,Frena Lodge
648,San Cristobal,VE,80.78,overcast clouds,7.7669,-72.225,Pirineos
649,Nisia Floresta,BR,82.78,few clouds,-6.0911,-35.2086,Rancho Crepusculo
652,Tabou,CI,75.22,few clouds,4.423,-7.3528,hotêl doufoulougou
658,Galle,LK,76.42,broken clouds,6.0367,80.217,Amangalla
659,Tepusteca,HN,85.48,broken clouds,15.4167,-86.3167,
663,Odweyne,SO,79.14,broken clouds,9.4092,45.064,Eng Hiirey House
666,Teknaf,BD,80.6,overcast clouds,20.8624,92.3058,Forestry Guesthouse
675,Kattivakkam,IN,84.29,clear sky,13.2167,80.3167,Euronova Freezer
676,Kanpur,IN,82.67,few clouds,26.4667,80.35,Little Chef Hotel
677,Singkawang,ID,76.19,broken clouds,0.9,109.0,Capital O 1822 Wahana Inn
678,Manta,EC,78.58,few clouds,-0.95,-80.7333,Balandra Hotel
679,Lamesa,US,82.53,overcast clouds,32.7376,-101.951,Shiloh Inn Lamesa
685,Kyaiklat,MM,79.02,overcast clouds,16.4333,95.7333,Phoe Khwar
689,Shubarshi,KZ,82.98,broken clouds,48.5872,57.1869,
692,Amapa,BR,77.16,overcast clouds,1.0,-52.0,
693,Lincoln,US,89.67,few clouds,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
697,Batticaloa,LK,80.33,few clouds,7.7102,81.6924,Grand Star Guest House
699,Oussouye,SN,84.38,broken clouds,12.485,-16.5469,Auberge du Routard
701,Racine,US,85.03,scattered clouds,42.7495,-88.0751,
