City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
337,Horsham,51.064,-0.3272,69.57,77,40,4.61,GB,scattered clouds
338,Baruun-Urt,46.6806,113.2792,60.01,59,100,4.43,MN,overcast clouds
339,Ambilobe,-13.2,49.05,70.92,66,60,5.46,MG,broken clouds
340,Khvorostyanka,52.6096,48.9597,56.19,38,0,7.96,RU,clear sky
341,Oranjemund,-28.55,16.4333,53.74,79,0,2.68,NA,clear sky
342,Paraiso,9.8383,-83.8656,73.96,78,99,3.67,CR,overcast clouds
343,Kalaleh,37.3807,55.4916,78.58,46,0,3.11,IR,clear sky
344,Mitu,1.1983,-70.1733,89.6,52,97,1.99,CO,overcast clouds
345,Dourados,-22.2211,-54.8056,91.89,21,23,11.79,BR,few clouds
346,Birjand,32.8663,59.2211,69.91,13,0,5.97,IR,clear sky
347,Shimoda,34.6667,138.95,74.16,88,44,9.44,JP,scattered clouds
